Sentiment,Tweet
0,Oh epic work fail. Also KAs still need to be incinerated and doctors suck 
0,is revising for her exams... is revising das polistishe System Deutschlands 
0,Very annoyed about this game. I dont think its installing.  
0,Jackson's not feeling well...boo to that 
0,Can't bring my CLEARBOOK !!! 
0,I just broke up with my boyfriend...... all I want to do is cry... 
0,@Jenty  I must admit that I would be too fearful walking through there....and then probably upset by what I saw. Well done 2 u!
0,@NaiveLondonGirl Still no sex though 
0,"i miss HK, screw swine flu for being such pandemic  i want my disneyland &amp; highways &amp; flea markets... i want HK back!"
0,The past 13 hours have been the most hectic ever  thank God for good friends &lt;3
0,back home. still sleepy  off to work to make some money today!
0,"@Kogenre crap, im a week out on the geek meet ?  i guess i have been quite distracted the past week, doh #kilaumeet"
0,"Chief had to be put down last night! sad, sad night! "
0,"is in a sad mood today..  I hate feeling this way. I have to work tonight, but Im almost done with all the computer work! YAY"
0,"Good morning...work today  tired from last night, but it was fun...anyway how is everyone?? I miss u all"
0,I'm up way too early. 
0,"Footy's over, back to work "
0,"going to soccer game, in the rain "
0,Track meet  im to tired for this mess!
0,I can't sleep...it's only 3:25 a.m. here right now 
0,is not having much success with her Garage Sale.     
0,ok what i said earlier ain't gonna happen  i was so close! Oh well i guess that's life hahaha
0,Felt great after Tue and Wed training this week.  Feel crap after tonight though.  My right shoulder is killing me 
0,I don likey swiney  lolz hahaha WHERE IS EVERYONE?!?!
0,"Sniffling, and lonely. Great, just how I wanted to spend my day with you "
0,Back to work   boo
0,OMG RIP GRANDMA....I AM GOING TO MISS YOUUUU SOOO MUCHH OMG! 
0,"Rain, rain go away. You're messing up our yard sale. "
0,mom and dad out of town............  &lt;3
0,Had fish curry for lunch today. I am still moaning over the fact that Vesak day falls on a weekday. Hmmph  I got to start my ppt.
0,@PauliinaP83 Yea I gotta work today  BUT Mom's Birthday Party is Tonight so I'll be Pretty Drunken after lol
0,i really hate my fake family now! please gimme a little space for my own life 
0,Loving the M25..   http://twitpic.com/4eg72
0,@withinwithout I will call the venue to follow up on my email to Port Merch yesterday.  
0,"went to bed at 4a.m., up at 9a.m. extremely tired and still not finished downloading my music for iTunes  i think i'm off to Sam's Club?"
0,@KKarthik nah.. not yet.. 
0,No marching today  our band parade is canceled due to bad weather... 
0,listening to music... its windy outside 
0, NICK BRAUN'S TWITTER IS BEING BLOCKED!!!!!! I LOVE HIM!!!!!!!!!!!!!!!!!! THIS SUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
0,Thinks australia is boring 
0,Today would be the perfect day to be all cuddled up with someone.. Bummer. 
0,"Sun shining in my window, and i am studying  Currently looking at the unification of Germany!"
0,Left dog beds out on patio - rained.  Found 50 eathworms underneath. Collected them &amp; put in flower bed covered lightly with soil. ;-)
0,@Braders007 aw you gotta help me... I don't know what to do... 
0,My wittle bunny friend... 
0,Everybodys at the March of Dimes 5k this morn except me!!   Im stuck working.... Have fun guys!
